,state,year,quater,district,registered_users,app_opens
432,arunachal-pradesh,2018,3,kamle district,65,0
433,arunachal-pradesh,2018,3,upper siang district,646,0
434,arunachal-pradesh,2018,3,kurung kumey district,222,0
435,arunachal-pradesh,2018,3,siang district,373,0
436,arunachal-pradesh,2018,3,kra daadi district,190,0
437,arunachal-pradesh,2018,3,changlang district,2889,0
438,arunachal-pradesh,2018,3,pakke kessang district,103,0
439,arunachal-pradesh,2018,3,east siang district,3590,0
440,arunachal-pradesh,2018,3,upper subansiri district,1169,0
441,arunachal-pradesh,2018,3,tawang district,3112,0
442,arunachal-pradesh,2018,3,namsai district,1862,0
443,arunachal-pradesh,2018,4,lower subansiri district,1459,0
444,arunachal-pradesh,2018,4,tirap district,1684,0
445,arunachal-pradesh,2018,4,papum pare district,21342,0
446,arunachal-pradesh,2018,4,anjaw district,744,0
447,arunachal-pradesh,2018,4,lower siang district,936,0
448,arunachal-pradesh,2018,4,dibang valley district,178,0
449,arunachal-pradesh,2018,4,west kameng district,6492,0
450,arunachal-pradesh,2018,4,shi yomi district,144,0
451,arunachal-pradesh,2018,4,east kameng district,691,0
452,arunachal-pradesh,2018,4,lohit district,3588,0
453,arunachal-pradesh,2018,4,lepa rada district,548,0
454,arunachal-pradesh,2018,4,lower dibang valley district,1827,0
455,arunachal-pradesh,2018,4,longding district,923,0
456,arunachal-pradesh,2018,4,west siang district,2117,0
457,arunachal-pradesh,2018,4,kamle district,109,0
458,arunachal-pradesh,2018,4,upper siang district,868,0
459,arunachal-pradesh,2018,4,kurung kumey district,321,0
460,arunachal-pradesh,2018,4,siang district,483,0
461,arunachal-pradesh,2018,4,kra daadi district,255,0
462,arunachal-pradesh,2018,4,changlang district,4036,0
463,arunachal-pradesh,2018,4,pakke kessang district,138,0
464,arunachal-pradesh,2018,4,east siang district,4813,0
465,arunachal-pradesh,2018,4,upper subansiri district,1576,0
